from,to,relationship 
uvdl,CDU,1
lk,SPD,2
nr,CDU,3
sw,Die Linke,4
cs,k.A.,5
cl,FDP,2
ks,k.A.,6
lm,k.A.,7
kd,k.A.,8
el,k.A.,9
ab,Die Grünen,10
ft,k.A.,11
am,k.A.,12
agl,FDP,13
er,k.A.,14
rh,Die Grünen,15
cm,k.A.,16
kp,k.A.,8
rk,CDU,4
cl,SPD,17
sb,k.A.,18
ch,k.A.,19
mw,k.A.,8
os,SPD,20
