from,to,relationship
uvdl,fh,2
uvdl,CDU,1
lk,fh,2
lk,SPD,1
nr,fh,2
nr,CDU,1
sw,fh,2
sw,Die Linke,1
cs,fh,2
cl,fhe,2
cl,FDP,1
ks,fhe,2
lm,fhe,2
kd,fhe,2
el,fhe,2
ab,fhz,2
ab,Die Grünen,1
ft,fhz,2
am,fhz,2
agl,fhz,2
agl,FDP,1
er,fhz,2
rh,fhd,2
rh,Die Grünen,1
cm,fhd,2
kp,fhd,2
rk,fhd,2
rk,CDU,1
cl,fhv,2
cl,SPD,1
sb,fhv,2
ch,fhv,2
mw,fhv,2
os,fhf,2
os,SPD,1
